Date,pos,neg,neu,compound
2000-01-01,0.0863181818181818,0.0367272727272727,0.8769090909090909,0.2933909090909091
2000-01-02,0.0686875,0.048,0.88325,0.1548375
2000-01-03,0.0776382978723404,0.0329148936170212,0.8893829787234041,0.2667212765957447
2000-01-04,0.0794444444444444,0.0456222222222222,0.8749333333333335,0.2354466666666667
2000-01-05,0.093078431372549,0.0455882352941176,0.8612549019607845,0.3209627450980393
2000-01-06,0.0723333333333333,0.0547708333333333,0.8729166666666667,0.1202270833333333
2000-01-07,0.064525,0.051125,0.8843250000000001,0.1226125
2000-01-08,0.0968936170212766,0.0342127659574468,0.8688936170212768,0.3432212765957446
2000-01-09,0.1098648648648648,0.0482432432432432,0.8418648648648646,0.1572783783783784
2000-01-10,0.089375,0.0461875,0.8644687499999999,0.18240625
2000-01-11,0.0869999999999999,0.0180862068965517,0.8949482758620692,0.3825017241379309
2000-01-12,0.069983606557377,0.0457213114754098,0.8843278688524591,0.1828852459016393
2000-01-13,0.0779636363636363,0.0258363636363636,0.8962181818181818,0.2901854545454545
2000-01-14,0.0872340425531915,0.0398297872340425,0.8728723404255319,0.2519659574468085
2000-01-15,0.073825,0.0360249999999999,0.8901999999999999,0.2630149999999999
2000-01-16,0.0644722222222222,0.0293055555555555,0.9062500000000002,0.1899944444444444
2000-01-17,0.0975599999999999,0.0477199999999999,0.8548,0.241148
2000-01-18,0.085,0.0418157894736842,0.8731578947368421,0.2549473684210526
2000-01-19,0.0821951219512195,0.041780487804878,0.8759756097560976,0.2633219512195122
2000-01-20,0.0775531914893616,0.0406595744680851,0.8818085106382979,0.2374085106382979
2000-01-21,0.0979756097560975,0.0289268292682926,0.8730487804878049,0.3781902439024389
2000-01-22,0.0773157894736842,0.0549210526315789,0.8677894736842106,0.1483263157894737
2000-01-23,0.0939189189189189,0.0398378378378378,0.8662432432432433,0.2770918918918919
2000-01-24,0.0795999999999999,0.0313333333333333,0.8891333333333332,0.2705666666666666
2000-01-25,0.0787173913043478,0.0371739130434782,0.8841956521739128,0.2378130434782609
2000-01-26,0.0731190476190476,0.0347142857142857,0.8920952380952378,0.2425833333333334
2000-01-27,0.0861020408163265,0.0283265306122449,0.8855714285714286,0.3780102040816326
2000-01-28,0.0768444444444444,0.0416444444444444,0.8814888888888891,0.2452911111111111
2000-01-29,0.101078947368421,0.0474210526315789,0.8515263157894738,0.3479394736842106
2000-01-30,0.0941388888888889,0.0470833333333333,0.8587500000000001,0.1959222222222222
2000-01-31,0.0679393939393939,0.0453939393939393,0.8866060606060607,0.1756818181818181
2000-02-01,0.1106249999999999,0.047375,0.8419166666666668,0.29949375
2000-02-02,0.0713043478260869,0.028391304347826,0.9002826086956522,0.2828695652173913
2000-02-03,0.1026666666666666,0.0488717948717948,0.8484871794871793,0.2855846153846154
2000-02-04,0.0814893617021276,0.0391914893617021,0.8792978723404254,0.2154382978723404
2000-02-05,0.0906285714285714,0.0348,0.8745714285714284,0.3578828571428572
2000-02-06,0.1115454545454545,0.0315454545454545,0.856909090909091,0.3386393939393939
2000-02-07,0.064,0.0633636363636363,0.8725757575757573,0.0635545454545454
2000-02-08,0.069590909090909,0.041590909090909,0.8887727272727272,0.1862181818181818
2000-02-09,0.0738666666666666,0.0446222222222222,0.8815333333333336,0.2295422222222222
2000-02-10,0.0921555555555555,0.0559111111111111,0.8519333333333335,0.2775644444444444
2000-02-11,0.0801052631578947,0.060578947368421,0.8593157894736841,0.2027368421052631
2000-02-12,0.0757380952380952,0.0436904761904762,0.8806190476190475,0.2880023809523809
2000-02-13,0.0878684210526316,0.0480263157894736,0.8641578947368421,0.2055157894736842
2000-02-14,0.0529310344827586,0.0453448275862069,0.9017241379310346,0.0991103448275862
2000-02-15,0.0693958333333333,0.0440625,0.8865208333333333,0.1850791666666666
2000-02-16,0.0829148936170213,0.0257021276595744,0.8913404255319151,0.400136170212766
2000-02-17,0.0754473684210526,0.0246842105263157,0.8998947368421052,0.3086921052631579
2000-02-18,0.0692391304347826,0.0515869565217391,0.8791739130434783,0.1387652173913043
2000-02-19,0.0921842105263157,0.0421315789473684,0.8657631578947369,0.2640236842105263
2000-02-20,0.0974838709677419,0.038,0.8644838709677419,0.3831354838709677
2000-02-21,0.091,0.0340588235294117,0.8750588235294118,0.2305705882352941
2000-02-22,0.0668,0.0607999999999999,0.8724000000000002,0.0724666666666666
2000-02-23,0.0675777777777777,0.0363777777777777,0.8961333333333332,0.1846844444444444
2000-02-24,0.0789795918367346,0.0396122448979591,0.8814489795918368,0.345069387755102
2000-02-25,0.0908292682926829,0.0444390243902439,0.8648780487804877,0.2634951219512194
2000-02-26,0.0652195121951219,0.047170731707317,0.8874634146341466,0.1289780487804878
2000-02-27,0.077325,0.045525,0.8770249999999999,0.1384325
2000-02-28,0.0494,0.0603428571428571,0.8902857142857143,-0.0074028571428571
2000-02-29,0.0772380952380952,0.045,0.8777380952380954,0.1976666666666666
2000-03-01,0.0809111111111111,0.0419777777777777,0.8770444444444446,0.2712355555555555
2000-03-02,0.0785106382978723,0.0474042553191489,0.8741702127659571,0.1826191489361702
2000-03-03,0.0886744186046511,0.0397906976744186,0.8714651162790698,0.3222325581395348
2000-03-04,0.0757297297297297,0.052054054054054,0.8722162162162161,0.209181081081081
2000-03-05,0.0959142857142856,0.0249428571428571,0.8791714285714284,0.37534
2000-03-06,0.0702142857142857,0.038,0.8917142857142857,0.160075
2000-03-07,0.1053414634146341,0.0368048780487804,0.8579268292682928,0.4069634146341463
